num,min,sec,cent,pers
01,00,10,23,2
02,00,42,88,1
03,00,15,01,2
04,00,21,25,2
05,00,01,04,2
06,00,30,77,1
07,00,41,87,2
08,02,08,09,2
09,00,02,23,2
10,00,01,28,1
11,00,13,74,2
12,01,02,18,1
13,00,37,39,2
14,01,30,79,1
15,00,06,06,1
16,00,29,27,1
17,00,21,27,1
18,00,07,08,1
19,00,35,54,1
20,00,24,63,1
21,00,16,59,2
22,00,01,55,2
23,00,38,34,1
24,00,07,46,1
25,02,05,35,3
26,00,09,98,1
27,01,00,81,1
28,03,19,89,1
29,00,02,18,1
30,00,10,29,2
31,00,14,39,1
32,00,21,27,2
33,00,06,47,1
34,00,07,04,1
35,00,18,04,2
36,00,20,04,2
37,01,32,59,1
38,01,07,01,3
39,02,20,71,1
40,00,29,15,1
41,01,18,55,2
42,00,03,27,1
43,01,00,37,1
44,01,22,83,2
45,00,31,51,1
46,00,36,75,1
47,00,24,36,4
48,01,17,43,2
49,00,06,31,2
50,00,50,80,1
51,01,23,60,2
52,01,48,84,1
53,00,29,61,2
54,00,20,08,2
55,00,42,13,2
56,00,13,34,1
57,00,03,61,2
58,00,26,88,2
59,01,25,56,1
60,00,19,47,2
61,00,24,35,2
62,00,53,32,2
63,00,25,84,1
64,01,26,62,2
65,00,09,93,2
66,00,47,88,2
67,01,14,29,1
68,01,55,67,2
69,00,59,50,1
70,00,12,02,2
71,03,44,85,2
72,00,28,89,1
73,00,33,84,1
74,05,31,15,2
